id1,category,details,pnr,startTime,endTime,status,staffId,ticket id, ticketDetails,feedback,rating,sentiment,metadata,media
1,damage_seat,Seat cushion is torn and uncomfortable.,1234567890,2024-10-10 08:15:00,2024-10-10 09:45:00,completed,staff001,,,The seat was repaired quickly and is now comfortable.,4,0.939620606803309,image001.jpg,video001.mp4
2,food,Food served was cold and stale.,9876543210,2024-10-11 10:30:00,2024-10-11 12:00:00,completed,staff002,,,"The food quality was below expectations, but it was resolved promptly.",2,0.6437879317242792,image002.jpg,video002.mp4
3,unhygenic_compartment,The compartment was dirty with trash all around.,1928374650,2024-10-12 14:00:00,2024-10-12 15:30:00,completed,staff003,,,Cleanliness improved after the complaint was addressed.,3,0.5930844335210324,image003.jpg,video003.mp4
5,violence,There was a fight between passengers in my coach.,2233445566,2024-10-14 18:45:00,2024-10-14 20:00:00,completed,staff005,,,"The situation was handled quickly, but it was quite unsettling.",3,0.8066179885554139,image005.jpg,video005.mp4
6,unhygenic_toilet,Toilet was extremely dirty and lacked soap.,3344556677,2024-10-15 09:00:00,2024-10-15 10:20:00,completed,staff006,,,Toilet was cleaned and stocked with soap right after the complaint.,4,0.7295402561902139,image006.jpg,video006.mp4
7,management,The train was delayed by 2 hours and no announcements were made.,4455667788,2024-10-16 11:00:00,2024-10-16 12:30:00,completed,staff007,,,"The delay was acknowledged, but communication could have been better.",2,0.2472230075005672,image007.jpg,video007.mp4
8,Electricity,The AC in the compartment stopped working.,5566778899,2024-10-17 13:00:00,2024-10-17 14:45:00,completed,staff008,,,"AC was fixed quickly, but the temperature was uncomfortable for a while.",3,0.3618862651737704,image008.jpg,video008.mp4
9,unhygenic_toilet,Washbasin was clogged and dirty.,6677889900,2024-10-18 15:00:00,2024-10-18 16:00:00,completed,staff009,,,The washbasin was cleared and cleaned quickly.,5,0.6900789415724198,image009.jpg,video009.mp4
10,damage_window,The window was broken and couldn't be closed.,7788990011,2024-10-19 07:45:00,2024-10-19 09:00:00,completed,staff010,,,The window was repaired promptly and was secure afterward.,4,0.7415967194370044,image010.jpg,video010.mp4
11,damage_seat,The seat was uncomfortable and lacked proper support.,9988776655,2024-10-20 08:00:00,2024-10-20 09:30:00,completed,staff011,,,The seat was fixed but could have been more comfortable.,3,0.800766836303087,image011.jpg,video011.mp4
12,food,The food was bland and tasteless.,1122334455,2024-10-21 10:00:00,2024-10-21 11:00:00,completed,staff012,,,"Food could be improved, but the service was quick.",2,0.7631310272173988,image012.jpg,video012.mp4
13,unhygenic_compartment,The compartment was filthy and smelled bad.,2233445566,2024-10-22 13:15:00,2024-10-22 14:45:00,completed,staff013,,,"Cleanliness was restored immediately, but the smell lingered for a while.",3,0.634349486109018,image013.jpg,video013.mp4
15,violence,A fight broke out between two passengers in the compartment.,4455667788,2024-10-24 16:00:00,2024-10-24 17:00:00,completed,staff015,,,Security arrived quickly to manage the situation.,3,0.8063234285690705,image015.jpg,video015.mp4
16,unhygenic_toilet,The toilet was not clean and lacked basic amenities.,5566778899,2024-10-25 09:30:00,2024-10-25 11:00:00,completed,staff016,,,The toilet was cleaned soon after the complaint.,4,0.6668564884645932,image016.jpg,video016.mp4
17,management,The train was delayed by 3 hours and no updates were provided.,6677889900,2024-10-26 14:30:00,2024-10-26 16:00:00,completed,staff017,,,"Train was delayed, but the lack of updates made it worse.",2,0.2619585010631444,image017.jpg,video017.mp4
18,Electricity,The lights went out in the compartment.,7788990011,2024-10-27 07:45:00,2024-10-27 09:00:00,completed,staff018,,,The electricity issue was fixed immediately.,4,0.6400314487205294,image018.jpg,video018.mp4
19,unhygenic_toilet,The washbasin was clogged and water wouldn't drain.,8899001122,2024-10-28 12:00:00,2024-10-28 13:30:00,completed,staff019,,,"The washbasin was unclogged, but it could have been cleaner.",3,0.302615989716588,image019.jpg,video019.mp4
20,damage_window,The window was broken and couldn't be closed properly.,9900112233,2024-10-29 18:00:00,2024-10-29 19:15:00,completed,staff020,,,"The window was repaired promptly, and the compartment was more comfortable.",4,0.8993359072269972,image020.jpg,video020.mp4
21,damage_seat,Seat back was broken and uncomfortable.,1010101010,2024-10-30 10:15:00,2024-10-30 11:45:00,completed,staff021,,,"The seat was replaced immediately, and the issue was resolved.",4,0.7262133429973141,image021.jpg,video021.mp4
22,food,Food served was cold and stale.,1212121212,2024-10-31 13:00:00,2024-10-31 14:30:00,completed,staff022,,,"The quality of the food was poor, but it was replaced.",2,0.479693359275712,image022.jpg,video022.mp4
23,unhygenic_compartment,"The compartment was dirty, and there was trash on the floor.",1313131313,2024-11-01 09:30:00,2024-11-01 11:00:00,completed,staff023,,,"The compartment was cleaned after the complaint, but some trash remained.",3,0.4662437180973715,image023.jpg,video023.mp4
25,violence,A scuffle broke out between passengers.,1515151515,2024-11-03 14:00:00,2024-11-03 15:30:00,completed,staff025,,,"The incident was managed quickly, but it was uncomfortable.",3,0.35418930565343,image025.jpg,video025.mp4
26,unhygenic_toilet,Toilet was clogged and lacked basic sanitation items.,1616161616,2024-11-04 12:00:00,2024-11-04 13:30:00,completed,staff026,,,The toilet was cleaned immediately and stocked with supplies.,4,0.769654736277357,image026.jpg,video026.mp4
27,management,"The train was overcrowded, and no staff helped with seating arrangements.",1717171717,2024-11-05 15:00:00,2024-11-05 16:30:00,completed,staff027,,,"It was very uncomfortable, but the situation was eventually managed.",2,0.5349269834981385,image027.jpg,video027.mp4
28,Electricity,The air conditioning stopped working mid-journey.,1818181818,2024-11-06 08:30:00,2024-11-06 10:00:00,completed,staff028,,,"The air conditioning was fixed quickly, but the temperature was still uncomfortable for some time.",3,0.4768978931353354,image028.jpg,video028.mp4
